" 'C/C=C(O[Si](C)(C)C)\\C1=CC=C(C)C=C1.C/C=C(O[Si](C)(C)C)/C2=CC=C(C)C=C2.[N2]CC#N>>O=C([C@H](CC#N)C)C3=CC=C(C)C=C3',",one more \
" 'C/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.C/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)C)C3=CC=CC=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)/C1=CC=CC=C1.[N2]CC#N>>O=C([C@H](CC#N)CC)C2=CC=CC=C2',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=C(F)C=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=C(F)C=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=C(F)C=CC=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC(C)=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC(C)=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC(C)=CC=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(Br)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(Br)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(Br)C=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(C(C)C)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(C(C)C)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(C(C)C)C=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(C)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(C)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(C)C=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(Cl)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(Cl)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(Cl)C=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(F)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(F)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(F)C=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=C(OC)C=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=C(OC)C=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=C(OC)C=C3',",one more \
 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.[N2]CC#N>>O=C([C@H](CC#N)CC)C2=CC=CC=C2'],one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C3',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C4',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C5',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C6',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C7',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CC=C8',",one more \
" 'CC/C=C(O[Si](C)(C)C)\\C1=CC=CS1.CC/C=C(O[Si](C)(C)C)/C2=CC=CS2.[N2]CC#N>>O=C([C@H](CC#N)CC)C3=CC=CS3',",one more \
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C10',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C11',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C4',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C5',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C6',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C7',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C8',",done
" 'CC1=CC=C(N(C)C)C=C1.O=C2OCCC2=[N+]=[N-]>>CC3=CC=C(N(C)C[C@H]4CCOC4=O)C=C9',",done
" 'CCC/C=C(O[Si](C)(C)C)\\C1=CC=CC=C1.CCC/C=C(O[Si](C)(C)C)/C2=CC=CC=C2.[N2]CC#N>>O=C([C@H](CC#N)CCC)C3=CC=CC=C3',",one more \
" nan,",
"['C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C>>C[Si](O[Si](CO)(C)C)(O[Si](C)(C)C)C.C[Si](O[Si](O)(C)C)(O[Si](C)(C)C)C',",correct